Class Index,Title,Description,desc_length,clean_desc
3,"BBC set for major shake-up, claims newspaper","London - The British Broadcasting Corporation, the world #39;s biggest public broadcaster, is to cut almost a quarter of its 28 000-strong workforce, in the biggest shake-up in its 82-year history, The Times newspaper in London said on Monday.",39,london british broadcast corpor world 39 biggest public broadcast cut almost quarter 28 000strong workforc biggest shakeup 82year histori time newspap london said monday
3,Marsh averts cash crunch,Embattled insurance broker #39;s banks agree to waive clause that may have prevented access to credit. NEW YORK (Reuters) - Marsh  amp; McLennan Cos.,24,embattl insur broker 39 bank agre waiv claus may prevent access credit new york reuter marsh amp mclennan co
2,"Jeter, Yankees Look to Take Control (AP)",AP - Derek Jeter turned a season that started with a terrible slump into one of the best in his accomplished 10-year career.,23,ap derek jeter turn season start terribl slump one best accomplish 10year career
4,Flying the Sun to Safety,"When the Genesis capsule comes back to Earth with its samples of the sun, helicopter pilots will be waiting for it, ready to snag it out of the sky.",29,genesi capsul come back earth sampl sun helicopt pilot wait readi snag sky
3,Stocks Seen Flat as Nortel and Oil Weigh," NEW YORK (Reuters) - U.S. stocks were set to open near  unchanged on Thursday after a warning from technology  bellwether Nortel Networks Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=NT.N target=/stocks/quickinfo/fullquote""&gt;NT.N&lt;/A&gt; dimmed hopes, while  stubbornly high oil prices also weighed on sentiment.",37,new york reuter us stock set open near unchang thursday warn technolog bellweth nortel network corp lta hrefhttpwwwinvestorreuterscomfullquoteaspxtickerntn targetstocksquickinfofullquotegtntnltagt dim hope stubbornli high oil price also weigh sentiment
2,Inter Milan seeks redemption win against Juventus,"It is early in the season for a decisive match, yet Inter Milan-Juventus on Sunday is shaping up as exactly that. Serie A leader Juventus stands 15 points ahead of Inter, but both teams see the meeting as key to their season.",42,earli season decis match yet inter milanjuventu sunday shape exactli seri leader juventu stand 15 point ahead inter team see meet key season
3,Saudi Arabia cuts oil prices,Oil prices eased yesterday as top world exporter Saudi Arabia slashed prices for its westbound crude sales in an effort to shift the large volumes it is offering to cool world markets.,32,oil price eas yesterday top world export saudi arabia slash price westbound crude sale effort shift larg volum offer cool world market
1,Google Cuts Its IPO Price Range,"SAN JOSE, Calif. - In a sign that Google Inc.'s initial public offering will not be as hot or big as expected, the Internet search giant slashed its estimated per-share price range and reduced the number of shares to be sold by insiders...",43,san jose calif sign googl inc initi public offer hot big expect internet search giant slash estim pershar price rang reduc number share sold insid
3,FOCUS: Santander Says HBOS Counterbid To Face Problems,"LONDON (Dow Jones)--Banco Santander Central Hispano SA (STD), the Spanish bank planning to buy UK lender Abbey National PLC (ANBA), Monday attacked its potential domestic ",25,london dow jonesbanco santand central hispano sa std spanish bank plan buy uk lender abbey nation plc anba monday attack potenti domest
4,HP Revises Cluster Plans,"HP (Quote, Chart) is dropping its efforts to port some Tru64 Unix products to HP-UX with the help of storage player Veritas . The two companies announced a multi-year agreement Thursday that finds HP #39;s sales ",36,hp quot chart drop effort port tru64 unix product hpux help storag player verita two compani announc multiyear agreement thursday find hp 39 sale
